id,name,isdone,spotifyid
1290933,Cheat Codes,True,7DMveApC7UnC2NPfPvlHSU
939032,Fifth Harmony,True,1l8Fu6IkuTP0U5QetQJ5Xt
859924,Disclosure,True,6nS5roXSAGhTGr34W6n7Et
803566,Troye Sivan,True,3WGpXCj9YhhfX11TToZcXP
20660,Oasis,True,2DaxqgrOhkeH0fpeiQq2f4
1374,Slipknot,True,05fG473iIaoy82BF1aGhL8
929657,Florida Georgia Line,True,3b8QkneNDz4JHKKKlLgYZg
495,Christina Aguilera,True,1l7ZsJRRS8wlW3WfJfPfNS
1669383,Jhay Cortez,True,0EFisYRi20PTADoJrifHrz
905024,Chance the Rapper,True,1anyVhU62p31KFi8MEzkbf
577669,Jorge & Mateus,True,1elUiq4X7pxej6FRlrEzjM
14423,Bon Jovi,True,58lV9VcRSjABbAbfWS6skp
120177,Don Omar,True,33ScadVnbm2X8kkUqOkC6Z
845770,The Lumineers,True,16oZKvXb6WkQlVAjwo2Wbg
106927,Kings of Leon,True,2qk9voo8llSGYcZ6xrBzKx
571280,Tame Impala,True,5INjqkS1o8h1imAzPqGZBb
1644516,Dalex,True,0KPX4Ucy9dk82uj4GpKesn
511819,Luke Bryan,True,0BvkDsjIUla7X0k6CSWh1I
934240,Tove Lo,True,4NHQUGzhtTLFvgF5SZesLK
24018,Alicia Keys,True,3DiDSECUqqY1AuBP8qtaIa
68173,Jason Mraz,True,4phGZZrJZRo4ElhRtViYdl
541443,The Script,True,3AQRLZ9PuTAozP28Skbq8V
1206587,6LACK,True,4IVAbR2w4JJNJDDRFP3E83
1855977,The Kid LAROI,True,2tIP7SsRs7vjIcLrU85W8J
647066,Glee Cast,True,0SCbttzoZTnLFebDYmAWCm
944543,Melanie Martinez,True,63yrD80RY3RNEM2YDpUpO8
516893,Florence + the Machine,True,1moxjboGR7GNWYIMWsRjgG
1637497,Paulo Londra,True,3vQ0GE3mI0dAaxIMYe5g7z
889440,Natti Natasha,True,1GDbiv3spRmZ1XdM1jQbT7
1519546,Lil Pump,True,3wyVrVrFCkukjdVIdirGVY
1167535,Justin Quiles,True,14zUHaJZo1mnYtn6IBRaRP
1022373,Galantis,True,4sTQVOfp9vEMCemLw50sbu
1638056,Megan thee Stallion,True,181bsRPaVXVlUKXrxwZfHK
452777,Five Finger Death Punch,True,5t28BP42x2axFnqOOMg3CM
813,Bruce Springsteen,True,3eqjTLE0HfPfh78zjh6TqT
12068,Nickelback,True,6deZN1bslXzeGvOLaLMOIF
1101110,Kehlani,True,0cGUm45nv7Z6M6qdXYQGTX
1918,Creedence Clearwater Revival,True,3IYUhFvPQItj6xySrBmZkd
805610,Alesso,True,4AVFqumd2ogHFlRbKIjp1t
304981,Ne‐Yo,True,21E3waRsmPlU7jZsS13rcj
89,Madonna,True,6tbjWDEIzxoDsBA1FuhfPW
1467864,Christian Nodal,True,0XwVARXT135rw8lyw1EeWP
163,2Pac,True,1ZwdS5xdxEREPySFridCfh
1425714,Piso 21,True,4bw2Am3p9ji3mYsXNXtQcd
754690,Niall Horan,True,1Hsdzj7Dlq2I7tHP7501T4
1269383,Bryson Tiller,True,2EMAnMvWE2eb56ToJVfCWs
979,Whitney Houston,True,6XpaIBNiVzIetEPCWDvAFP
1621012,Capital Bra,True,4WZGDpNwrC0vNQyl9QzF7d
1297224,Kane Brown,True,3oSJ7TBVCWMDMiYjXNiCKE
1254571,Playboi Carti,True,699OTQXzgjhIYAHMy9RyPD
34,Rammstein,True,6wWVKhxIU2cEi0K81v7HvP
1318006,Zé Neto & Cristiano,True,487N2T9nIPEHrlTZLL3SQs
910,ABBA,True,0LcJLqbBmaGUft1e9Mm8HV
804367,Gusttavo Lima,True,7MiDcPa6UiV3In7lIM71IN
1409564,NAV,True,7rkW85dBwwrJtlHRDkJDAC
734972,Labrinth,True,2feDdbD5araYcm6JhFHHw7
48734,My Chemical Romance,True,7FBcuc1gsnv6Y1nwFtNRCb
599382,YG,True,0A0FS04o6zMoto8OKPsDwY
895644,Thomas Rhett,True,6x2LnllRG5uGarZMsD4iO8
1030105,Henrique Albino,True,3p7PcrEHaaKLJnPUGOtRlT
1211210,Arcangelo,True,7CZfCnmFRBPanhnBO1ZdMq
713629,Alok,True,0NGAZxHanS9e0iNHpR8f2W
157343,Zion I,True,21451j1KhjAiaYKflxBjr1
347152,Jonas Brothers,True,7gOdHgIoIKoe4i9Tta6qdD
1137671,James Bay,True,4EzkuveR9pLvDVFNx6foYD
1503351,Morat,True,5C4PDR4LnhZTbVnKWXuDKD
244,Disturbed,True,3TOqt5oJwL9BE2NG9MEwDa
1079251,Lenny Tavárez,True,1pQWsZQehhS4wavwh7Fnxd
998861,Vance Joy,True,10exVja0key0uqUkk6LJRT
585303,Kevin Gates,True,1gPhS1zisyXr5dHTYZyiMe
856625,Ryan Lewis,True,4myTppRgh0rojLxx8RycOp
835335,Flume,True,6nxWCVXbOlEVRexSbLsTer
74202,Kelly Clarkson,True,3BmGtnKgCSGYIUhmivXKWX
157386,Wisin,True,3E6xrwgnVfYCrCs0ePERDz
514,Jennifer Lopez,True,2DlGxzQSjYe5N6G9nkYghR
47218,Avril Lavigne,True,0p4nmQO2msCgU4IF37Wi3j
1598431,Lil Skies,True,7d3WFRME3vBY2cgoP38RDo
481,Aerosmith,True,7Ey4PD4MYsKc5I2dolUwbH
281667,Bring Me the Horizon,True,1Ffb6ejR6Fe5IamqA5oRUF
29,Stevie Wonder,True,7guDJrEfX3qb6FEbdPA5qi
124098,Amy Winehouse,True,6Q192DXotxtaysaqNPy5yR
797262,Miguel,True,360IAlyVv4PCEVjgyMZrxK
202,Hans Zimmer,True,0YC192cP3KPCRWx8zr8MfZ
1697501,YNW Melly,True,1cNDP5yjU5vjeR8qMf4grg
38536,Alejandro Fernández,True,6sq1yF0OZEWA4xoXVKW1L9
1834232,Tones and I,True,2NjfBq1NflQcKSeiDooVjY
1195773,Fetty Wap,True,6PXS4YHDkKvl1wkIl4V8DL
39229,Sean Paul,True,3Isy6kedDrgPYoTS1dazA9
486,Backstreet Boys,True,5rSXSAkZ67PYJSvpUpkOr7
1285561,TWICE,True,7n2Ycct7Beij7Dj7meI4X0
554751,Kesha,True,6LqNN22kT3074XbTVUrhzX
1319,Maná,True,7okwEbXzyT2VffBmyQBWLz
1401175,Morgan Wallen,True,4oUHIQIBe0LHzYfvXNW4QM
624860,Jeremih,True,3KV3p5EY4AvKxOlhGHORLg
143296,Yandel,True,0eHQ9o50hj6ZDNBt6Ys1sD
373,Dr. Dre,True,6DPYiyq5kWVQS4RGwxzPC7
157342,Wisin & Yandel,True,1wZtkThiXbVNtj6hee6dz9
104857,Three Days Grace,True,2xiIXseIJcq3nG7C8fHeBj
498835,Steve Aoki,True,77AiFEVeAVj2ORpC85QVJs
262693,Jason Aldean,True,3FfvYsEGaIb52QPXhg4DcH
1511392,Why Don’t We,True,
1343626,Seeb,True,5iNrZmtVMtYev5M9yoWpEq
1016421,George Ezra,True,2ysnwxxNtSgbb9t1m2Ur4j
1055125,Dan + Shay,True,7z5WFjZAIYejWy0NI5lv4T
138,Billy Joel,True,6zFYqv1mOsgBRQbae3JJ9e
769821,Prince Royce,True,3MHaV05u0io8fQbZ2XPtlC
151,Phil Collins,True,4lxfqrEsLX6N1N4OCSkILp
190,Pearl Jam,True,1w5Kfo2jwwIPruYS2UWh56
163726,Akon,True,0z4gvV4rjIZ9wHck67ucSV
217006,Trey Songz,True,2iojnBLj0qIMiKPvVhLnsH
11386,Eagles,True,0ECwFtbIWEVNwjlrfc6xoL
387,Johnny Cash,True,6kACVPfCOnqzgfEF5ryl0x
754645,Jessie J,True,2gsggkzM5R49q6jpPvazou
1839407,Lil Tecca,True,4Ga1P7PMIsmqEZqhYZQgDo
1726000,Lil Mosey,True,5zctI4wO9XSKS8XwcnqEHk
1161927,Wesley Safadão,True,
629401,benny blanco,True,5CiGnKThu5ctn9pBxv7DGa
972540,Passenger,True,0gadJ2b9A4SKsB1RFkBb66
650387,Lin‐Manuel Miranda,True,4aXXDj9aZnlshx7mzj3W1N
881185,Lukas Graham,True,25u4wHJWxCA9vO0CzxAbK7
1364856,CNCO,True,0eecdvMrqBftK0M1VKhaF4
71902,Avenged Sevenfold,True,0nmQIMXWTXfhgOBdNzhGOs
368,The Offspring,True,5LfGQac0EIXyAN8aUwmNAQ
1560062,Nio García,True,5hdhHgpxyniooUiQVaPxQ0
1277539,Matheus Mota,True,2Z0lRIqr997lIUiPtrpKCr
112605,Mark Ronson,True,3hv9jJF3adDNsBSIQDqcjp
30696,The Strokes,True,0epOFNiUfyON9EYx7Tpr6V
1122478,Lizzo,True,56oDRnqbIiwx4mymNEv7dS
843338,2 Chainz,True,17lzZA2AlOHwCwFALHttmp
139,Céline Dion,True,4S9EykWXhStSc15wEx8QFK
1819690,Lil Tjay,True,6jGMq4yGs7aQzuGsMgVgZR
330,Ricky Martin,True,7slfeZO9LsJbWgpkIoXBUJ
727869,Foster the People,True,7gP3bB2nilZXLfPHJhMdvc
1331,Ricardo Arjona,True,0h1zs4CTlU9D2QtgPxptUD
9804,Train,True,3FUY2gzHeIiaesXtOAdB7A
17,Bob Dylan,True,74ASZWbe4lXaubB36ztrGX
786252,ScHoolboy Q,True,5IcR3N7QB1j6KBL8eImZ8m
799435,Pablo Alborán,True,5M9Bb4adKAgrOFOhc05Y50
618346,Rudimental,True,4WN5naL3ofxrVBgFpguzKo
1083137,Jul,True,3IW7ScrzXmPvZhB27hmfgy
1457971,H.E.R.,True,3Y7RZ31TRPVadSFVy1o8os
1851042,24kGoldn,True,6fWVd57NKTalqvmjRd2t8Z
847007,Pentatonix,True,26AHtbjWKiwYzsoGoUZq53
1684,Marc Anthony,True,4wLXwxDeWQ8mtUIRPxGiD6
212204,James Blunt,True,7KMqksf0UMdyA0UCf4R3ux
1104420,Macklemore & Ryan Lewis,True,5BcAKTbp20cv7tC5VqPFoC
51840,Armin van Buuren,True,0SfsnGyD8FpIN4U4WCkBZ5
57111,Aventura,True,1qto4hHid1P71emI6Fd8xi
1165290,Daniel Caesar,True,20wkVLutqVOYrc0kxFs7rA
1340731,Lil Yachty,True,6icQOAFXDZKsumw3YXyusw
10262,Alejandro Sanz,True,5sUrlPAHlS9NEirDB8SEbF
470713,Bon Iver,True,4LEiUm1SRbFMgfqnQTwUbQ
1141979,Sam Hunt,True,2kucQ9jQwuD8jWdtR9Ef38
754688,Liam Payne,True,5pUo3fmmHT8bhCyHE52hA6
233,Dire Straits,True,0WwSkZ7LtFUFjGjMZBMt6T
1063068,Offset,True,4DdkRBBYG6Yk9Ka8tdJ9BW
1670724,Duki,True,1bAftSH8umNcGZ0uyV7LMg
3031,Nelly,True,2gBjLmx6zQnFGQJCAQpRgw
857223,Jhené Aiko,True,5ZS223C6JyBfXasXxrRqOk
1063065,Quavo,True,0VRj0yCOv2FXJNP47XQnx5
379719,Zac Brown Band,True,6yJCxee7QumYr820xdIsjo
1351418,BROCKHAMPTON,True,1Bl6wpkWCQ4KVgnASpvzzA
156,Bryan Adams,True,3Z02hBLubJxuFJfhacLSDc
161309,Cartel de Santa,True,
1510605,Ski Mask the Slump God,True,2rhFzFmezpnW82MNqEKVry
42916,Blake Shelton,True,1UTPBmNbXNTittyMJrNkvw
1022186,PARTYNEXTDOOR,True,2HPaUgqeutzr3jx5a9WyDV
59036,The Black Keys,True,7mnBLXK823vNxN3UWB7Gfz
48183,Carlos Vives,True,4vhNDa5ycK0ST968ek7kRr
677828,Mike Posner,True,2KsP6tYLJlTBvSUxnwlVWa
1047489,The Vamps,True,7gAppWoH7pcYmphCVTXkzs
626805,R3HAB,True,6cEuCEZu7PAE9ZSzLLc2oQ
1697548,Don Toliver,True,4Gso3d4CscCijv0lmajZWs
