id,name,isdone,spotifyid,genres,popularity,followers
898962,Tory Lanez,True,2jku7tDXc6XoB6MO2hFuqg,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",83.0,4247998.0
146720,The Killers,True,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",80.0,6405002.0
831916,Banda Sinaloense MS de Sergio Lizárraga,True,2C6i0I5RiGzDKN9IAF8reh,"['banda', 'musica mexicana', 'norteno']",84.0,14113748.0
176,Foo Fighters,True,7jy3rLJdDQY21OgRLCZ9sD,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",80.0,9581620.0
241,blink‐182,True,6FBDaR13swtiWwGhX1WQsP,"['pop punk', 'punk', 'rock', 'socal pop punk']",80.0,6878548.0
111,Mariah Carey,True,4iHNK0tOyZPYnBU7nGAgpQ,"['dance pop', 'pop', 'urban contemporary']",80.0,7521874.0
824188,Meek Mill,True,20sxb77xiYeusSH8cVdatc,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81.0,5904234.0
501,Daft Punk,True,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house']",83.0,8679114.0
197,U2,True,51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",81.0,9459901.0
176938,John Legend,True,5y2Xq6xcjJb2jVM54GHK3t,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",82.0,6111865.0
1140624,Rae Sremmurd,True,7iZtZyCzp3LItcw1wtPI3D,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78.0,6770657.0
1131760,Meghan Trainor,True,6JL8zeS1NmiOftqZTRgdTz,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",80.0,11224780.0
388,Led Zeppelin,True,36QJpDe2go2KgaRleHCDTp,"['album rock', 'classic rock', 'hard rock', 'rock']",80.0,11874003.0
1603703,6ix9ine,True,7gZfnEnfiaHzxARJ2LeXrf,"['emo rap', 'rap']",76.0,6670706.0
